Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
IND,2015-01-01,2017-12-31,100,'356,India,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20152017,2017,kcal/cap/d,2470,E,
IND,2016-01-01,2018-12-31,100,'356,India,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20162018,2018,kcal/cap/d,2505,E,
IND,2017-01-01,2019-12-31,100,'356,India,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20172019,2019,kcal/cap/d,2523,E,
IND,2018-01-01,2020-12-31,100,'356,India,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20182020,2020,kcal/cap/d,2532,E,
IND,2019-01-01,2021-12-31,100,'356,India,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20192021,2021,kcal/cap/d,2540,E,
IND,2020-01-01,2022-12-31,100,'356,India,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20202022,2022,kcal/cap/d,2562,E,
IND,2021-01-01,2023-12-31,100,'356,India,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20212023,2023,kcal/cap/d,2605,E,
IND,2022-01-01,2024-12-31,100,'356,India,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20222024,2024,kcal/cap/d,2645,E,
IND,2000-01-01,2002-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20002002,2002,%,63,E,
IND,2001-01-01,2003-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20012003,2003,%,62,E,
IND,2002-01-01,2004-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20022004,2004,%,62,E,
IND,2003-01-01,2005-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20032005,2005,%,62,E,
IND,2004-01-01,2006-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20042006,2006,%,62,E,
IND,2005-01-01,2007-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20052007,2007,%,61,E,
IND,2006-01-01,2008-12-31,100,'356,India,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20062008,2008,%,61,E,
